date | value
2011-01-03 | 3
2011-01-03 | 2.000000
2011-01-03 | 1.2
2018-06-30 | 0
2018-06-30 | 0.1
2020-02-29 | 5

   2011-01-03     |     1.2345000    
2011.01.01 | 1
2011/01/01 | 1
2015-13-01 | 1
2015-12-55 | 1
2011--01-01 | 1
2015--1--2 | 1
2015-1-2 | 1
0-01-01 | 0.5
0000-01-01 | 0.5
-2022-01-42 | 0.5
29-02-2020 | 5
2022-01-10- | 0.5
2022-1-1abc0 | 5
20ab-1-1| 5
2022--1 | 5
2022-01-0 | 5
2022-0-1 | 5
2022-02-30 | 5
2022-02-29 | 5

2011-01-03 | -5
2011-01-03 | abc
2011-01-03 | 1.2.3
2022-01-10 | 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2011-01-03 | 99999
2012-01-11 | 2147483648
2018-06-30 | -0.2
2018-06-30 | 1001

2011-01-03 || 1
2011-01-03 |1| 2
| 1
 | 1
2011-01-03 | 
2011-01-03 |
<empty line>
2001-42-42
2015-12-31 |

2009-01-02 | 1
2030-01-01 | 1
